material,absorption rate,std. dev.
fuel,0.6622757292396975,0.0009039737685225287
buffer,0.00010316235683253318,5.068158570080561e-07
PyC1,0.00011851224605808784,5.815371824665923e-07
SiC,0.002585247642859148,4.330149459988999e-06
PyC2,0.00017788770781069794,8.829872868472224e-07
matrix_pin,0.0014818883704872177,5.884518312826431e-06
matrix,0.0052149976961565194,1.710753799841365e-05
moderator,0.1828538100837967,0.0002922592337463987
hp_vp_liq_wick,0.027842886577103,5.0508987220746806e-05
shell_air_hp,0.06133561019783922,0.000119172182550382
shell_air_mod,0.05621937230956237,8.881064459342115e-05
