material,heating rate [eV/src],std. dev.,fraction of total
fuel,92211124.41192085,159105.56901966286,0.9503840106954557
moderator,2079185.684660038,2358.400975298606,0.021429354023930848
matrix,874074.4165794521,1295.5723389693399,0.009008743304811913
shell_air_hp,607752.3043525286,1352.7866503748712,0.0062638654089038626
shell_air_mod,549567.9743627392,920.4463395547502,0.005664182266029452
matrix_pin,290174.5553159399,453.85286332714685,0.0029907157020555913
hp_vp_liq_wick,260292.21339125052,549.939211421574,0.0026827300859113444
SiC,55019.1717159642,74.34937733987694,0.0005670610939193817
PyC2,43446.23256335338,68.00320316776872,0.0004477833343482073
PyC1,29036.157351016496,46.18186286992032,0.0002992643225471385
buffer,25448.69611814593,40.65745871899877,0.00026228976208652206
